**** BEGIN LOGGING AT Wed May 13 18:32:44 2020

[ski has address ~ski@remote11.chalmers.se]
May 13 18:32:44 <ski>	oh ?
May 13 21:40:36 <crestfallen>	@let gg f a c = f a
May 13 21:40:49 <ski>	er, missing a bracket ..
May 13 21:41:29 <ski>	  =  K (S (K K)) f (I f) a c  -- i think it was meant to be
May 13 21:41:36 <ski>	  =  K (S (K K)) f f a c
May 13 21:41:43 <ski>	  =  S (K K) f a c
May 13 21:41:54 <ski>	  =  K K a (f a) c
May 13 21:41:59 <ski>	  =  K (f a) c
May 13 21:42:03 <ski>	  =  f a
May 13 21:42:44 <ski>	yea, the original (which also was missing a bracket, mea culpa), should have been `gg = S (K (S (K K))) I'
May 13 21:43:34 <crestfallen>	that's interesting.    how to input 'let gg f a c = f a' I thought it was @let
May 13 21:44:26 <ski>	yea, but that only works if lambdabot sees it
May 13 21:44:27 >#lamdabot<	let gg f a c = f a
May 13 21:44:29 <ski>	this is in PM
May 13 21:44:42 <crestfallen>	oh it's not here ok
May 13 21:45:02 >lamdabot<	let gg f a c = f a
May 13 21:45:34 <ski>	anyway .. i don't think figuring out that your `gg' can be defined as `S (K (S (K K))) I' is that useful ..
May 13 21:46:11 <crestfallen>	thanks I can follow that SKI non-Calculus regardless. It's cool. at one point I thought I *must* learn that...
May 13 21:46:14 <ski>	in any case, i hope you've some more food for thought, now
May 13 21:46:22 <ski>	nah
May 13 21:46:50 <crestfallen>	yeah thanks this is great. you inspire me to go on. sometimes I want to quit and just play guitar
May 13 21:46:56 <ski>	i'd guess most people who talk more in #haskell probably doesn't know it that well
May 13 21:47:27 <crestfallen>	I think I like substitution like that. the same reason I like the unifying
May 13 21:48:07 <ski>	did you see "Prerequisite for Learning Haskell" <http://www.vex.net/~trebla/haskell/prerequisite.xhtml>, btw ?
May 13 21:48:52 <ski>	it talks about how being able to perform such substitutions and unifications are useful, for learning Haskell
May 13 21:49:08 <crestfallen>	ski << your moniker is not after SKI , more likely the downhill variety?
May 13 21:49:18 <crestfallen>	no haven't seen that. will check it tomm.
May 13 21:49:32 <ski>	it's named after the SKI combinators, yes
May 13 21:49:56 <crestfallen>	really? Nice.
May 13 21:50:15 <ski>	i happened to've recently looked into them, when i started chatting on IRC .. sometimes in 2001, or maybe 2000
May 13 21:50:44 <ski>	and now people know me by this nickname, so it seems a shame to change it now
May 13 21:50:57 <ski>	(also, i'm bad at comping up with any better one)
May 13 21:51:11 <crestfallen>	cool. do you know the word crestfallen? 
May 13 21:51:12 <ski>	(s/comping/coming/)
May 13 21:51:42 <ski>	i think "crest" is what some male birds have on top of their heads ?
May 13 21:52:40 <ski>	(anyway, i'm used to people thinking my nickname has something to do with snow)
May 13 21:52:42 <crestfallen>	well yes, it pertains to animals who are depressed, especially used with horses who have been broken or beaten. I started using it when I got frustrated learning CS  :)
May 13 21:52:50 <ski>	oh, okay
May 13 21:53:06 <ski>	i know i've seen you around #haskell, for some time
May 13 21:53:12 <ski>	maybe several years, i'm not sure
May 13 21:53:21 <ski>	at least since last year
May 13 21:53:49 <crestfallen>	yeah like 3 years now. I really am terrible at it, I know!
May 13 21:54:10 <ski>	it's okay, different people learn in different ways, at different speeds
May 13 21:54:30 <ski>	you can't do better than your best
May 13 21:54:48 <crestfallen>	but also crestfallen in English is a very beautiful word, so I just love it.  yeah thanks, I have the time to work harder. really appreciate you.
May 13 21:55:20 <ski>	mm
May 13 21:55:32 <ski>	i think i may need to catch some rest, now
May 13 21:55:47 <crestfallen>	also I drop it and come back, and forget stuff. ok good night THANKS
May 13 21:55:52 *	ski nods
May 13 21:55:58 <ski>	no problem
May 13 21:56:54 Python interface unloaded
May 13 21:56:54 FiSHLiM plugin unloaded
**** ENDING LOGGING AT Wed May 13 21:56:54 2020

